Sha,Message,IsBugFix,Reasoning,Source
f0e639af5ffdc839aae8e65d19b5a9a1f0db634a,Initial commit,False,An initial commit doesn't provide details on the purpose of changes made.,mlnet
76cb2cdf5cc8b6c88ca44b8969153836e589df04,Get a working build (#1),True,Directly addresses building an issue,mlnet
972f6232de173b5e294a34a847682e9b1e67d3af,Fixed the syntax of cited example. (#2),True,"The commit is addressing a prior issue, which indicates a fix",mlnet
cde0d7d18ec9e93bde1d3a53c35f87430ac43fee,Add ML.NET Roadmap (#30),False,ML.NET Roadmap indicates a planning document for future development rather than fixing existing bugs.,mlnet
da023b18464268a9d4431de1f978a685fa397a8b,Merge pull request #35 from shauheen/update_contribution,False,The commit message alone does not provide sufficient detail,mlnet
0ba22f120acbe629f16c4a09f1f36ecf6faa2b63,Add release notes for ML.NET 0.1 (#37),False,Release notes are an informative update about changes in the project.,mlnet
c023727b76970ab913ec1ce38276508835c17bcf,Update README.md (#40),False,Updating documentation does not fix code issues and is unrelated to bugs,mlnet
2038108473015a58cee8425719f75751282cb7b0,Adjust gitter link to go to new mlnet room (#42),False,The commit appears related to configuration or feature enhancement rather than fixing a bug.,mlnet
02e5cd5a148bdd85b655eb4e20f822485a8ba2a3,Add push trigger to netci.groovy (#46),True,Triggering an issue might indicate solving a problem,mlnet
2603a9652b52f0fdc1157192decb9e39c18b6155,Add Build Status to README (#48),False,The commit mentions updating documentation rather than fixing a bug,mlnet
5748195f8b91e2d2e76a589fbfdb8949313a3059,Merge pull request #54 from dotnet/data-license,False,A merge pull request without specific details cannot be classified as a bugfix.,mlnet
af95f66fdef86c71fc9a42e142f6a01f518c649c,[Src] Fixed typo: files in Microsoft.ML namespace (#59),True,The commit addresses fixing a specific issue which is likely a typographical error.,mlnet
d9d1216221701ee04951353e5180954056474cbf,[Docs] Fixed typo: ROADMAP.md (#55),True,"The commit mentions fixing a typo, which can be considered a bug fix.",mlnet
ae662104793a4ca6bc3863a0bee00591526b740b,Pass correct field name to exception and message (#65),True,The commit describes addressing an issue by fixing the exception handling,mlnet
500d7034025c08d41feb6a52bae6410a695b7b18,Refactored scenario tests (issue #32) (#52),True,The commit is related to issue numbers which often indicate a bug fix,mlnet
e9942bb360c05272ee923ebfb76c09a3cccb2528,Fix link to example file in readme.md (#71),True,The commit references a specific issue and provides context indicating it's a fix for an existing problem,mlnet
b26740707b077687e0406444ed0a709c766f5634,Correcting docs for building in Linux (#58),True,The commit is addressing an existing issue indicated by the comment,mlnet
142f3d761d3381d56527fe5ec82e444689c9ef76,Minor comment fixes. (#84),True,The term 'fixes' usually implies addressing issues or bugs in the code.,mlnet
051b62c29b13c1f8b80c8ddd6df8537f620732b5,Expand on NuGet installation (#90),True,The commit states installing a tool that could solve issues with package management.,mlnet
4f9ee892af309cb08a4809316c53c83497022661,Bump version number to 0.2. (#95),False,Version bumping is often related to releasing a new feature or updating rather than fixing bugs.,mlnet
3e5b5edb34617311a2df5d3458edb074a0e7a84a,Comments added to LearningPipeline class to make Intellisense more helpful. (#50),False,Adding comments for better code understanding doesn't fix a bug.,mlnet
e1db5c53f0ff29fd97dca8087e7f7bedfd0b5124,publish symbols enabled (#99),False,Symbols being published indicate an update rather than fixing a bug,mlnet
ff5fb14e508cd55b7305387f4ac53be4f611f96a,Fix reversed hyperparameters in Scenarios Tests. Closes #25. (#94),True,Indicates a specific bug fix related to scenarios tests issue,mlnet
e9cd4bc3310ca4e09ce99f02f67d9549790644fc,Issue #104: Update the build tools to 2.1.200 (#105),True,Adjusting versions of tools could address underlying compatibility issues and bugs.,mlnet
2e732ea8a3846ba0193a8116a4a043a58637513c,Update code generator to handle generic types and types with multiple '+' signs in them. (#102),True,Addressing type handling can correct bugs related to incorrect type usage,mlnet
ea07be87a5300e0e4d50563cfb14e963f3dee286,"Fixed exception: ""InvalidOperationException: Source column 'Label' is required but not found."" (#121)",True,The commit message explicitly mentions fixing a specific known issue,mlnet
8e60d97bed3909d0443c67e2057726ec8cbdf4b6,Setting 'useHeader: false' in 'TrainAndPredictIrisModelTest' because there is '#' infront of header row in Iris.txt.,True,The commit addresses a problem with the data format directly impacting functionality,mlnet
5d03b5403ee690c6b05c5f7ec4c99e4b0bfbcc18,Replaced calls to DateTime.Now with DateTime.UtcNow to be locale agnostic (#133),True,Changing the method addressing a potential issue for different time zones,mlnet
54a0b420262001c4db68e8f7d0524bd30328411c,FastTree: Instantiate feature map for disk transpose and make Generalized Additive Models predictor resilient when feature map is not available. (#122),True,The commit specifically addresses resolving an issue with the feature map's availability affecting Generalized Additive Models.,mlnet
